group,total_kills_analyzed,avg_kill_speed_ms,median_kill_speed_ms,min_kill_speed_ms,max_kill_speed_ms,std_kill_speed_ms,avg_kill_speed_ticks
Tracked Players,148,475.61,328.12,0.0,2281.25,520.45,30.44
Other Players,439,603.11,515.62,0.0,2328.12,485.82,38.6
