time_bin,avg_enemies_in_fov,avg_noise_factor,player_name,steamid,is_tracked
0.0,1.3233614359532226,0.9995413451600664,..............,76561198994986200,False
5.0,1.7854812398042414,0.999950362770127,..............,76561198994986200,False
10.0,1.7002717391304347,1.0,..............,76561198994986200,False
15.0,1.8608695652173912,1.0,..............,76561198994986200,False
20.0,1.3898097826086957,1.0,..............,76561198994986200,False
25.0,1.907336956521739,1.0,..............,76561198994986200,False
30.0,1.7958085528178986,1.0,..............,76561198994986200,False
35.0,1.4430982258762441,1.0,..............,76561198994986200,False
40.0,1.194112372982666,1.0,..............,76561198994986200,False
45.0,1.1482420554428667,1.0,..............,76561198994986200,False
50.0,1.3553019145802652,1.0,..............,76561198994986200,False
55.0,1.090736040609137,1.0,..............,76561198994986200,False
60.0,0.7864653545430035,1.0,..............,76561198994986200,False
65.0,0.7901916206560572,1.0,..............,76561198994986200,False
70.0,0.8739495798319328,1.0,..............,76561198994986200,False
75.0,1.073518915060671,1.0,..............,76561198994986200,False
80.0,0.8921875,1.0,..............,76561198994986200,False
85.0,0.9234375,1.0,..............,76561198994986200,False
90.0,0.898170246618934,1.0,..............,76561198994986200,False
95.0,0.9953125,1.0,..............,76561198994986200,False
100.0,0.5015625,1.0,..............,76561198994986200,False
105.0,1.84375,1.0,..............,76561198994986200,False
110.0,1.93125,1.0,..............,76561198994986200,False
115.0,1.5171875,1.0,..............,76561198994986200,False
120.0,1.9875,1.0,..............,76561198994986200,False
0.0,0.42914617791685294,0.9995332535273327,adwess skins.army,76561199164825362,False
5.0,0.975297619047619,0.9999248254866827,adwess skins.army,76561199164825362,False
10.0,0.9572916666666667,1.0,adwess skins.army,76561199164825362,False
15.0,0.6769345238095238,1.0,adwess skins.army,76561199164825362,False
20.0,0.8431547619047619,1.0,adwess skins.army,76561199164825362,False
25.0,1.5976190476190477,1.0,adwess skins.army,76561199164825362,False
30.0,1.577529761904762,1.0,adwess skins.army,76561199164825362,False
35.0,1.6523115896136795,1.0,adwess skins.army,76561199164825362,False
40.0,1.8827791194501207,1.0,adwess skins.army,76561199164825362,False
45.0,1.7187696170747018,1.0,adwess skins.army,76561199164825362,False
50.0,1.4864532019704433,1.0,adwess skins.army,76561199164825362,False
55.0,1.2330400227079195,1.0,adwess skins.army,76561199164825362,False
60.0,0.8234375,1.0,adwess skins.army,76561199164825362,False
65.0,0.8551787351054079,1.0,adwess skins.army,76561199164825362,False
70.0,0.32027649769585254,1.0,adwess skins.army,76561199164825362,False
75.0,0.0,1.0,adwess skins.army,76561199164825362,False
80.0,0.0,1.0,adwess skins.army,76561199164825362,False
85.0,0.0,1.0,adwess skins.army,76561199164825362,False
90.0,0.0,1.0,adwess skins.army,76561199164825362,False
95.0,0.0,1.0,adwess skins.army,76561199164825362,False
100.0,0.0,1.0,adwess skins.army,76561199164825362,False
105.0,0.0,1.0,adwess skins.army,76561199164825362,False
110.0,0.0,1.0,adwess skins.army,76561199164825362,False
115.0,0.0,1.0,adwess skins.army,76561199164825362,False
120.0,0.0,1.0,adwess skins.army,76561199164825362,False
0.0,1.0281479466956758,0.999519491900279,broo,76561199809921268,False
5.0,1.5678357803153888,0.9996099679479138,broo,76561199809921268,False
10.0,2.140217391304348,1.0,broo,76561199809921268,False
15.0,2.3706521739130433,1.0,broo,76561199809921268,False
20.0,2.1535326086956523,1.0,broo,76561199809921268,False
25.0,2.1276478679504813,1.0,broo,76561199809921268,False
30.0,2.165549402506558,1.0,broo,76561199809921268,False
35.0,1.8404761904761904,1.0,broo,76561199809921268,False
40.0,1.5077380952380952,1.0,broo,76561199809921268,False
45.0,1.4677084994418752,1.0,broo,76561199809921268,False
50.0,1.5529930473121927,1.0,broo,76561199809921268,False
55.0,1.3609747226768503,1.0,broo,76561199809921268,False
60.0,1.0096024582293066,1.0,broo,76561199809921268,False
65.0,1.1373697916666667,1.0,broo,76561199809921268,False
70.0,0.80936729663106,1.0,broo,76561199809921268,False
75.0,0.8333874634621631,1.0,broo,76561199809921268,False
80.0,0.9245068285280729,1.0,broo,76561199809921268,False
85.0,0.887890625,1.0,broo,76561199809921268,False
90.0,0.69609375,1.0,broo,76561199809921268,False
95.0,0.689358372456964,1.0,broo,76561199809921268,False
100.0,0.8064197530864198,1.0,broo,76561199809921268,False
105.0,0.6034188034188034,1.0,broo,76561199809921268,False
110.0,0.769375,1.0,broo,76561199809921268,False
115.0,0.9195140470766895,1.0,broo,76561199809921268,False
120.0,0.6427622841965471,0.9997183608502189,broo,76561199809921268,False
0.0,0.986260372738403,0.9993515517439594,deko337,76561198145044194,False
5.0,1.6000815328169589,0.9998857990766042,deko337,76561198145044194,False
10.0,2.0220108695652175,1.0,deko337,76561198145044194,False
15.0,1.7754076086956523,1.0,deko337,76561198145044194,False
20.0,1.6338315217391304,1.0,deko337,76561198145044194,False
25.0,2.1320652173913044,1.0,deko337,76561198145044194,False
30.0,2.073880082701585,1.0,deko337,76561198145044194,False
35.0,2.0451398903951543,1.0,deko337,76561198145044194,False
40.0,1.4839607201309328,1.0,deko337,76561198145044194,False
45.0,1.2276146131805157,1.0,deko337,76561198145044194,False
50.0,1.0988662131519273,1.0,deko337,76561198145044194,False
55.0,1.2969613259668509,1.0,deko337,76561198145044194,False
60.0,0.9798170923998738,1.0,deko337,76561198145044194,False
65.0,0.8375,1.0,deko337,76561198145044194,False
70.0,1.0862068965517242,1.0,deko337,76561198145044194,False
75.0,0.7520833333333333,1.0,deko337,76561198145044194,False
80.0,0.8188446438586652,1.0,deko337,76561198145044194,False
85.0,0.66375,1.0,deko337,76561198145044194,False
90.0,0.4975,1.0,deko337,76561198145044194,False
95.0,0.5106382978723404,1.0,deko337,76561198145044194,False
100.0,0.58046875,1.0,deko337,76561198145044194,False
105.0,0.71796875,1.0,deko337,76561198145044194,False
110.0,0.6088669950738916,1.0,deko337,76561198145044194,False
115.0,0.6824224519940916,1.0,deko337,76561198145044194,False
120.0,0.4194260485651214,1.0,deko337,76561198145044194,False
0.0,0.6497620666213461,0.9995341432803221,mrlolua19,76561198908924538,False
5.0,1.3278042148198503,0.9997079362890152,mrlolua19,76561198908924538,False
10.0,1.9879076086956522,1.0,mrlolua19,76561198908924538,False
15.0,1.7648097826086957,1.0,mrlolua19,76561198908924538,False
20.0,1.7544836956521739,1.0,mrlolua19,76561198908924538,False
25.0,2.0434782608695654,1.0,mrlolua19,76561198908924538,False
30.0,1.6580074616553822,1.0,mrlolua19,76561198908924538,False
35.0,1.6490996925779535,1.0,mrlolua19,76561198908924538,False
40.0,1.5199404761904762,1.0,mrlolua19,76561198908924538,False
45.0,1.4358630952380953,1.0,mrlolua19,76561198908924538,False
50.0,1.4624596959926301,1.0,mrlolua19,76561198908924538,False
55.0,1.508389860764013,1.0,mrlolua19,76561198908924538,False
60.0,1.7328460268804526,1.0,mrlolua19,76561198908924538,False
65.0,1.269785150938265,1.0,mrlolua19,76561198908924538,False
70.0,1.06590084643289,1.0,mrlolua19,76561198908924538,False
75.0,1.0892801005972965,1.0,mrlolua19,76561198908924538,False
80.0,0.6811098441657164,1.0,mrlolua19,76561198908924538,False
85.0,0.7203463203463204,1.0,mrlolua19,76561198908924538,False
90.0,0.8473871733966746,1.0,mrlolua19,76561198908924538,False
